product,Color,SIZE,Type/ Model,,catagory,SKU,סוג,שם,תיאור,במלאי?,מלאי,מחיר רגיל,קטגוריות,תגיות,Images,שיוך 1 שמות,שיוך 1 ערכים,אב,שיוך 1 פריטים גלובליים
BG,BKWHRD,16,SA,BOXING GLOVES,,BGSA-BKWHRD-16,variation,"SUPER AIR black white red,כפפות איגרוף עור",,1,8,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSA-213.jpeg,weight,16OZ,BGSA-WHBKRD,1
,,,,,,,,,,,,,,,,,,,
,,,,,,BGSA-WHPKPK,variable,"SUPER AIR white pink,כפפות איגרוף עור","כפפות האגרוף מסדרת SUPER AIR עשויות עור מלא בעבודת יד, בעלות רשת אוורור",0,,,כפפות איגרוף,"אגרוף, אגרוף תאילנדי, כפפות, כפפות לחימה",https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSA-166.jpg,weight,"8OZ, 10OZ, 12OZ, 14OZ, 16OZ",1,1
BG,WHPKPK,8,SA,BOXING GLOVES,,BGSA-WHPKPK-8,variation,"SUPER AIR white pink,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSA-166.jpg,weight,8OZ,BGSA-WHPKPK,1
BG,WHPKPK,10,SA,BOXING GLOVES,,BGSA-WHPKPK-10,variation,"SUPER AIR white pink,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSA-166.jpg,weight,10OZ,BGSA-WHPKPK,1
BG,WHPKPK,12,SA,BOXING GLOVES,,BGSA-WHPKPK-12,variation,"SUPER AIR white pink,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSA-166.jpg,weight,12OZ,BGSA-WHPKPK,1
BG,WHPKPK,14,SA,BOXING GLOVES,,BGSA-WHPKPK-14,variation,"SUPER AIR white pink,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSA-166.jpg,weight,14OZ,BGSA-WHPKPK,1
BG,WHPKPK,16,SA,BOXING GLOVES,,BGSA-WHPKPK-16,variation,"SUPER AIR white pink,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSA-166.jpg,weight,16OZ,BGSA-WHPKPK,1
,,,,,,,,,,,,,,,,,,,
,,,,,,BGSA-WHYWBK,variable,"SUPER AIR white yellow black,כפפות איגרוף עור","כפפות האגרוף מסדרת SUPER AIR עשויות עור מלא בעבודת יד, בעלות רשת אוורור",1,,,כפפות איגרוף,"אגרוף, אגרוף תאילנדי, כפפות, כפפות לחימה",https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSA-152-scaled.jpg,weight,"8OZ, 10OZ, 12OZ, 14OZ, 16OZ",1,1
BG,WHYWBK,8,SA,BOXING GLOVES,,BGSA-WHYWBK-8,variation,"SUPER AIR white yellow black,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSA-152-scaled.jpg,weight,8OZ,BGSA-WHYWBK,1
BG,WHYWBK,10,SA,BOXING GLOVES,,BGSA-WHYWBK-10,variation,"SUPER AIR white yellow black,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSA-152-scaled.jpg,weight,10OZ,BGSA-WHYWBK,1
